body_temp,respiratory_rate,ambient_temp,label
38.82,20.5,22.33,0
39.71,38.8,29.36,1
39.02,16.3,29.95,0
38.96,39.8,27.94,0
38.49,33.7,33.11,1
38.99,9.1,22.15,0
39.88,29.5,31.69,1
39.18,19.6,25.81,0
38.75,19.1,25.99,0
38.87,12.8,25.94,0
40.4,48.8,21.16,1
38.89,59.8,21.5,0
39.18,14.0,27.49,0
40.62,47.5,39.46,1
39.2,20.8,32.11,0
40.96,54.5,28.92,1
38.85,19.5,28.23,0
38.89,11.7,24.74,0
39.11,18.5,20.07,0
38.92,19.5,24.81,0
39.85,36.5,32.5,1
39.69,28.3,30.98,1
39.81,30.6,22.96,1
39.96,29.7,31.62,1
38.84,32.2,32.08,1
38.52,16.3,22.3,0
40.06,21.2,20.94,0
40.55,42.6,28.44,1
39.78,33.4,31.72,1
39.92,38.4,34.41,1
39.87,34.4,32.33,1
40.58,42.3,38.1,1
39.72,27.3,21.7,0
38.58,32.6,35.7,1
40.41,34.7,37.18,1
38.53,14.2,20.22,0
38.85,18.5,22.04,0
40.53,40.0,36.54,1
38.75,54.1,37.12,1
39.14,51.1,26.81,0
39.87,27.2,32.56,1
38.88,13.6,29.22,0
38.58,50.6,34.19,1
38.59,22.8,25.61,0
38.57,33.7,31.13,1
39.93,36.3,20.22,1
40.03,27.2,32.61,1
38.63,11.0,27.49,0
38.96,18.2,29.03,0
38.82,33.5,30.66,1
38.65,24.0,26.75,0
40.99,24.3,28.39,0
39.06,27.5,23.66,0
40.55,43.3,38.93,1
38.55,25.9,20.58,0
38.18,12.7,25.81,0
40.12,31.3,33.62,1
40.09,36.9,34.88,1
40.61,44.0,28.44,1
39.06,26.9,37.11,0
40.91,51.8,20.34,1
38.28,21.7,27.35,0
39.16,42.9,35.35,1
39.78,30.4,23.63,1
40.42,40.0,37.48,1
40.24,34.5,36.57,1
38.68,14.3,37.82,0
38.81,19.5,27.82,0
40.06,32.2,34.47,1
38.8,14.2,24.43,0
39.48,26.1,31.03,0
40.96,37.1,27.68,1
40.77,44.9,27.21,1
38.66,25.1,21.28,0
38.6,23.4,26.85,0
38.35,53.0,36.43,1
40.29,36.0,25.3,1
40.06,30.3,32.04,1
38.48,22.8,26.86,0
40.48,43.8,39.15,1
39.22,52.3,33.31,1
38.74,29.1,21.66,0
40.96,39.7,39.57,1
38.4,16.9,21.73,0
40.86,52.2,28.26,1
39.24,24.4,27.25,0
40.69,40.4,21.98,1
40.26,41.4,36.99,1
39.79,28.2,32.05,1
38.73,33.8,37.96,1
39.61,30.4,31.32,1
39.68,32.6,33.11,1
40.93,48.8,26.24,1
39.03,12.1,23.18,0
39.91,37.5,34.02,1
38.59,13.8,21.38,0
40.24,38.6,34.59,1
39.9,23.0,28.38,0
40.62,43.0,37.71,1
38.32,12.2,23.26,0
38.44,20.2,23.01,0
39.22,49.9,37.13,1
40.39,38.5,38.18,1
38.49,9.3,28.3,0
38.76,43.6,37.3,1
39.0,15.2,20.29,0
38.86,9.7,23.7,0
39.15,19.2,27.72,0
